goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    397810 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    8081 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    411257 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    7902 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    418819 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    8081 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    402001 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    7904 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    410179 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    8080 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    369760 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    7902 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    363241 ns/op	         6.000 redis_commands/op	      3442 redis_network_bytes/op	         6.000 redis_round_trips/op	    8079 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    361956 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    8077 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    395651 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    7902 B/op	     165 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    367638 ns/op	         6.000 redis_commands/op	      3445 redis_network_bytes/op	         6.000 redis_round_trips/op	    8082 B/op	     165 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_256-16   	      30	    696148 ns/op	        11.00 redis_commands/op	      6501 redis_network_bytes/op	        10.00 redis_round_trips/op	   15210 B/op	     282 allocs/op
