goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    124772 ns/op	         4.000 redis_commands/op	       901.3 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    130094 ns/op	         4.000 redis_commands/op	       901.3 redis_network_bytes/op	         2.000 redis_round_trips/op	    2049 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    113168 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    119635 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2049 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    104664 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    121506 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    112562 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    115043 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2048 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    123261 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2049 B/op	      45 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_1/payload_256-16         	      30	    112362 ns/op	         4.000 redis_commands/op	       901.5 redis_network_bytes/op	         2.000 redis_round_trips/op	    2049 B/op	      45 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_1/payload_256-16   	      30	    261517 ns/op	         5.000 redis_commands/op	      1634 redis_network_bytes/op	         4.000 redis_round_trips/op	    4773 B/op	      83 allocs/op
